id,season_id,last_modified,sr_id
5ef847b6-c93b-41cb-89a8-ed246a42fe4c,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-27T16:14:28Z,sr:match:43066525
3e0a1623-e0d9-4477-a5e2-e81ad324bebf,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-27T05:32:16Z,sr:match:43066521
8e55c58c-0c7a-4cb8-b3ee-e10c6e7d4cdc,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-28T04:48:47Z,sr:match:43066533
895cbddd-3984-4640-a28f-07243fc1936b,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-28T04:44:33Z,sr:match:43066535
94fe3aa8-e11f-40d1-b1ab-42ffa6806693,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-27T16:13:14Z,sr:match:43066519
e586b061-9dfc-4b9c-bdb2-85186a02ef46,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-28T05:14:36Z,sr:match:43066545
2925ddd7-6d61-4e46-8a08-e56a457e958d,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-28T01:36:39Z,sr:match:43066531
59e8a648-ce10-4bfe-98c1-86d6adf23527,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-28T05:00:41Z,sr:match:43066539
b1cbd265-28ef-431e-b5aa-d8b4c8326e9b,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-28T03:37:47Z,sr:match:43066541
a5fdcb20-a59f-42a5-9d1d-2c0dfa8f16df,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-27T16:13:58Z,sr:match:43066513
079b7aeb-9d19-4d6e-9efc-1e0b4fab98cd,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-27T16:12:18Z,sr:match:43066527
ca17f8c7-a917-4b4d-9744-e74476a0376d,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-28T03:56:21Z,sr:match:43066543
3356bf61-7017-4514-aad4-b6ad1cbefddc,7dcb5184-ab33-49fe-bd18-c4ca2b1cfc08,2024-01-28T04:58:03Z,sr:match:12232512
de9f6c3e-e90d-4275-81a4-5d99f30e656d,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-28T04:55:26Z,sr:match:43066537
3069e1f1-17c1-4e90-9857-bad968717624,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-27T19:31:44Z,sr:match:43066529
47d58238-4528-4205-be5d-6e02e2a55736,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-27T16:01:28Z,sr:match:43066523
cf17d530-bb63-4c05-8616-afead5aa2ac7,f1162fd1-29c5-4c29-abb4-57b78f16d238,2024-01-28T04:52:18Z,sr:match:43066547
